time,open,high,low,close,volume
2025-06-13T06:00:00+00:00,6.12,6.12,6.12,6.12,159938
2025-06-13T07:00:00+00:00,6.12,6.15,6.11,6.14,3855399
2025-06-13T08:00:00+00:00,6.14,6.15,6.13,6.13,1522452
2025-06-13T09:00:00+00:00,6.14,6.18,6.13,6.18,1836662
2025-06-13T10:00:00+00:00,6.18,6.18,6.16,6.18,1043711
2025-06-13T11:00:00+00:00,6.18,6.18,6.15,6.17,476381
2025-06-13T12:00:00+00:00,6.16,6.18,6.15,6.16,1121100
2025-06-13T13:00:00+00:00,6.16,6.17,6.15,6.16,405960
2025-06-13T14:00:00+00:00,6.15,6.17,6.15,6.16,957122
2025-06-13T15:00:00+00:00,6.16,6.16,6.15,6.15,395393
2025-06-13T16:00:00+00:00,6.15,6.16,6.14,6.15,294495
2025-06-13T17:00:00+00:00,6.15,6.16,6.14,6.16,260417
2025-06-13T18:00:00+00:00,6.15,6.16,6.14,6.16,424738
2025-06-13T19:00:00+00:00,6.16,6.17,6.15,6.16,445438
2025-06-13T20:00:00+00:00,6.16,6.16,6.14,6.15,152327
2025-06-16T06:00:00+00:00,6.19,6.19,6.19,6.19,49967
2025-06-16T07:00:00+00:00,6.19,6.2,6.15,6.16,8590193
2025-06-16T08:00:00+00:00,6.16,6.17,6.14,6.16,1600216
2025-06-16T09:00:00+00:00,6.15,6.18,6.15,6.18,1761872
2025-06-16T10:00:00+00:00,6.18,6.19,6.16,6.17,1166604
2025-06-16T11:00:00+00:00,6.17,6.18,6.16,6.17,672711
2025-06-16T12:00:00+00:00,6.17,6.18,6.15,6.16,2021232
2025-06-16T13:00:00+00:00,6.16,6.17,6.12,6.12,1471026
2025-06-16T14:00:00+00:00,6.12,6.14,6.12,6.13,753543
2025-06-16T15:00:00+00:00,6.12,6.13,6.12,6.12,1486146
2025-06-16T16:00:00+00:00,6.12,6.14,6.12,6.14,535618
2025-06-16T17:00:00+00:00,6.13,6.14,6.12,6.14,423375
2025-06-16T18:00:00+00:00,6.14,6.14,6.12,6.14,249973
2025-06-16T19:00:00+00:00,6.12,6.14,6.11,6.12,540295
2025-06-16T20:00:00+00:00,6.13,6.13,6.12,6.12,343814
2025-06-17T06:00:00+00:00,6.13,6.13,6.13,6.13,67649
2025-06-17T07:00:00+00:00,6.12,6.18,6.12,6.18,2422346
2025-06-17T08:00:00+00:00,6.18,6.18,6.16,6.16,1021137
2025-06-17T09:00:00+00:00,6.17,6.21,6.16,6.21,3315257
2025-06-17T10:00:00+00:00,6.21,6.21,6.18,6.19,1395721
2025-06-17T11:00:00+00:00,6.19,6.2,6.17,6.18,699495
2025-06-17T12:00:00+00:00,6.19,6.21,6.18,6.2,1207263
2025-06-17T13:00:00+00:00,6.2,6.23,6.19,6.23,1909497
2025-06-17T14:00:00+00:00,6.23,6.25,6.22,6.24,1939353
2025-06-17T15:00:00+00:00,6.24,6.25,6.23,6.24,854691
2025-06-17T16:00:00+00:00,6.24,6.25,6.23,6.24,963151
2025-06-17T17:00:00+00:00,6.24,6.25,6.22,6.25,1091100
2025-06-17T18:00:00+00:00,6.24,6.25,6.22,6.24,666403
2025-06-17T19:00:00+00:00,6.24,6.24,6.21,6.23,506342
2025-06-17T20:00:00+00:00,6.23,6.24,6.22,6.24,211101
2025-06-18T06:00:00+00:00,6.25,6.25,6.25,6.25,56924
2025-06-18T07:00:00+00:00,6.26,6.26,6.22,6.24,2205210
2025-06-18T08:00:00+00:00,6.24,6.25,6.22,6.24,2145571
2025-06-18T09:00:00+00:00,6.24,6.27,6.22,6.27,1967324
2025-06-18T10:00:00+00:00,6.27,6.29,6.25,6.27,1464990
2025-06-18T11:00:00+00:00,6.28,6.29,6.26,6.28,1510596
2025-06-18T12:00:00+00:00,6.28,6.28,6.26,6.28,866995
2025-06-18T13:00:00+00:00,6.27,6.28,6.25,6.27,1713226
2025-06-18T14:00:00+00:00,6.27,6.27,6.22,6.25,2499440
2025-06-18T15:00:00+00:00,6.25,6.25,6.23,6.24,483645
2025-06-18T16:00:00+00:00,6.25,6.25,6.23,6.24,424810
2025-06-18T17:00:00+00:00,6.23,6.24,6.23,6.24,411227
2025-06-18T18:00:00+00:00,6.23,6.24,6.23,6.23,126736
2025-06-18T19:00:00+00:00,6.23,6.24,6.22,6.23,915443
2025-06-18T20:00:00+00:00,6.23,6.24,6.22,6.22,146050
2025-06-19T06:00:00+00:00,6.24,6.24,6.24,6.24,43384
2025-06-19T07:00:00+00:00,6.25,6.26,6.23,6.26,1360422
2025-06-19T08:00:00+00:00,6.26,6.26,6.24,6.26,736766
2025-06-19T09:00:00+00:00,6.26,6.26,6.24,6.25,658266
2025-06-19T10:00:00+00:00,6.25,6.25,6.21,6.21,1638602
2025-06-19T11:00:00+00:00,6.22,6.23,6.21,6.23,851443
2025-06-19T12:00:00+00:00,6.21,6.23,6.19,6.21,1874153
2025-06-19T13:00:00+00:00,6.21,6.21,6.2,6.2,667958
2025-06-19T14:00:00+00:00,6.21,6.23,6.2,6.23,2705760
2025-06-19T15:00:00+00:00,6.22,6.23,6.21,6.22,443560
2025-06-19T16:00:00+00:00,6.22,6.23,6.21,6.23,466503
2025-06-19T17:00:00+00:00,6.23,6.23,6.21,6.22,476112
2025-06-19T18:00:00+00:00,6.22,6.22,6.21,6.22,208068
2025-06-19T19:00:00+00:00,6.22,6.22,6.2,6.22,241346
2025-06-19T20:00:00+00:00,6.22,6.22,6.2,6.22,605894
2025-06-20T06:00:00+00:00,6.21,6.21,6.21,6.21,3011
2025-06-20T07:00:00+00:00,6.22,6.23,6.18,6.22,2006183
2025-06-20T08:00:00+00:00,6.22,6.23,6.21,6.22,1268906
2025-06-20T09:00:00+00:00,6.22,6.22,6.2,6.22,887625
2025-06-20T10:00:00+00:00,6.22,6.22,6.19,6.21,1188270
2025-06-20T11:00:00+00:00,6.21,6.22,6.18,6.19,1104725
2025-06-20T12:00:00+00:00,6.19,6.21,6.18,6.2,656038
2025-06-20T13:00:00+00:00,6.19,6.2,6.17,6.18,1016799
2025-06-20T14:00:00+00:00,6.18,6.18,6.15,6.17,3245596
2025-06-20T15:00:00+00:00,6.16,6.17,6.15,6.16,640219
2025-06-20T16:00:00+00:00,6.17,6.17,6.15,6.16,532496
2025-06-20T17:00:00+00:00,6.15,6.16,6.15,6.15,377267
2025-06-20T18:00:00+00:00,6.15,6.17,6.15,6.16,576364
2025-06-20T19:00:00+00:00,6.16,6.17,6.16,6.17,392143
2025-06-20T20:00:00+00:00,6.17,6.18,6.16,6.16,543387
2025-06-23T06:00:00+00:00,6.16,6.16,6.16,6.16,11068
2025-06-23T07:00:00+00:00,6.16,6.18,6.13,6.15,4639110
2025-06-23T08:00:00+00:00,6.15,6.16,6.13,6.16,3655125
2025-06-23T09:00:00+00:00,6.16,6.17,6.15,6.16,1547480
2025-06-23T10:00:00+00:00,6.17,6.17,6.15,6.16,1030724
2025-06-23T11:00:00+00:00,6.16,6.17,6.14,6.16,710293
2025-06-23T12:00:00+00:00,6.16,6.16,6.15,6.16,688019
2025-06-23T13:00:00+00:00,6.15,6.2,6.15,6.19,2039679
2025-06-23T14:00:00+00:00,6.19,6.2,6.18,6.19,1219279
2025-06-23T15:00:00+00:00,6.19,6.2,6.17,6.19,1129515
2025-06-23T16:00:00+00:00,6.18,6.19,6.17,6.18,1066630
2025-06-23T17:00:00+00:00,6.18,6.18,6.16,6.17,499478
2025-06-23T18:00:00+00:00,6.17,6.17,6.16,6.17,359146
2025-06-23T19:00:00+00:00,6.17,6.17,6.16,6.17,191958
2025-06-23T20:00:00+00:00,6.17,6.17,6.14,6.15,754544
2025-06-24T06:00:00+00:00,6.11,6.11,6.11,6.11,41986
2025-06-24T07:00:00+00:00,6.12,6.14,6.08,6.1,5509790
2025-06-24T08:00:00+00:00,6.09,6.12,6.08,6.1,1528114
2025-06-24T09:00:00+00:00,6.1,6.12,6.09,6.11,863606
2025-06-24T10:00:00+00:00,6.12,6.12,6.11,6.12,1102475
2025-06-24T11:00:00+00:00,6.12,6.12,6.1,6.11,524218
2025-06-24T12:00:00+00:00,6.11,6.11,6.09,6.11,774639
2025-06-24T13:00:00+00:00,6.1,6.13,6.1,6.12,927940
2025-06-24T14:00:00+00:00,6.12,6.16,6.11,6.15,1519387
2025-06-24T15:00:00+00:00,6.14,6.15,6.14,6.14,754413
2025-06-24T16:00:00+00:00,6.15,6.15,6.13,6.13,377322
2025-06-24T17:00:00+00:00,6.14,6.15,6.13,6.15,211725
2025-06-24T18:00:00+00:00,6.15,6.16,6.14,6.16,1271190
2025-06-24T19:00:00+00:00,6.16,6.17,6.15,6.17,609253
2025-06-24T20:00:00+00:00,6.17,6.2,6.16,6.2,1076975
2025-06-25T06:00:00+00:00,6.19,6.19,6.19,6.19,4020
2025-06-25T07:00:00+00:00,6.19,6.22,6.18,6.22,2535662
2025-06-25T08:00:00+00:00,6.22,6.22,6.2,6.22,1330387
2025-06-25T09:00:00+00:00,6.22,6.22,6.2,6.22,1747717
2025-06-25T10:00:00+00:00,6.22,6.22,6.2,6.22,816782
2025-06-25T11:00:00+00:00,6.21,6.22,6.2,6.22,829824
2025-06-25T12:00:00+00:00,6.22,6.22,6.2,6.2,671975
2025-06-25T13:00:00+00:00,6.21,6.22,6.2,6.21,1368988
2025-06-25T14:00:00+00:00,6.21,6.24,6.19,6.24,4712299
2025-06-25T15:00:00+00:00,6.23,6.25,6.23,6.25,833772
2025-06-25T16:00:00+00:00,6.24,6.26,6.24,6.25,858686
2025-06-25T17:00:00+00:00,6.25,6.25,6.24,6.25,259782
2025-06-25T18:00:00+00:00,6.25,6.25,6.24,6.25,167786
2025-06-25T19:00:00+00:00,6.24,6.25,6.24,6.25,292508
2025-06-25T20:00:00+00:00,6.25,6.25,6.23,6.24,427685
2025-06-26T06:00:00+00:00,6.25,6.25,6.25,6.25,60739
2025-06-26T07:00:00+00:00,6.26,6.27,6.22,6.25,2833059
2025-06-26T08:00:00+00:00,6.25,6.25,6.23,6.24,2082101
2025-06-26T09:00:00+00:00,6.24,6.25,6.23,6.25,1618253
2025-06-26T10:00:00+00:00,6.25,6.26,6.24,6.25,797372
2025-06-26T11:00:00+00:00,6.25,6.26,6.24,6.26,682084
2025-06-26T12:00:00+00:00,6.26,6.27,6.25,6.26,1263842
2025-06-26T13:00:00+00:00,6.26,6.26,6.25,6.26,517685
2025-06-26T14:00:00+00:00,6.26,6.28,6.25,6.28,1464280
2025-06-26T15:00:00+00:00,6.28,6.28,6.26,6.26,348792
2025-06-26T16:00:00+00:00,6.26,6.27,6.26,6.27,540837
2025-06-26T17:00:00+00:00,6.27,6.27,6.24,6.26,416315
2025-06-26T18:00:00+00:00,6.26,6.26,6.25,6.26,272750
2025-06-26T19:00:00+00:00,6.25,6.26,6.25,6.26,260286
2025-06-26T20:00:00+00:00,6.26,6.27,6.25,6.26,159973
2025-06-27T06:00:00+00:00,6.25,6.25,6.25,6.25,3575
2025-06-27T07:00:00+00:00,6.24,6.26,6.22,6.22,4059069
2025-06-27T08:00:00+00:00,6.24,6.25,6.22,6.25,955257
2025-06-27T09:00:00+00:00,6.25,6.26,6.23,6.24,1420449
2025-06-27T10:00:00+00:00,6.25,6.26,6.23,6.23,1117348
2025-06-27T11:00:00+00:00,6.24,6.24,6.22,6.24,1396894
2025-06-27T12:00:00+00:00,6.23,6.25,6.23,6.25,787546
2025-06-27T13:00:00+00:00,6.25,6.28,6.24,6.28,2571591
2025-06-27T14:00:00+00:00,6.28,6.29,6.26,6.29,1785659
2025-06-27T15:00:00+00:00,6.29,6.3,6.28,6.29,1078543
2025-06-27T16:00:00+00:00,6.28,6.31,6.28,6.3,2295749
2025-06-27T17:00:00+00:00,6.3,6.31,6.29,6.31,273065
2025-06-27T18:00:00+00:00,6.31,6.31,6.29,6.3,434931
2025-06-27T19:00:00+00:00,6.3,6.3,6.29,6.3,330087
2025-06-27T20:00:00+00:00,6.3,6.31,6.29,6.3,611688
2025-06-30T06:00:00+00:00,6.31,6.31,6.31,6.31,26062
2025-06-30T07:00:00+00:00,6.31,6.33,6.28,6.3,9606771
2025-06-30T08:00:00+00:00,6.3,6.31,6.28,6.29,1741470
2025-06-30T09:00:00+00:00,6.29,6.3,6.28,6.29,1332977
2025-06-30T10:00:00+00:00,6.29,6.34,6.28,6.32,2819540
2025-06-30T11:00:00+00:00,6.33,6.34,6.32,6.34,1754042
2025-06-30T12:00:00+00:00,6.34,6.36,6.33,6.36,2127519
2025-06-30T13:00:00+00:00,6.36,6.36,6.34,6.36,1106820
2025-06-30T14:00:00+00:00,6.35,6.37,6.34,6.37,1978439
2025-06-30T15:00:00+00:00,6.37,6.38,6.36,6.36,1106061
2025-06-30T16:00:00+00:00,6.36,6.38,6.35,6.37,932461
2025-06-30T17:00:00+00:00,6.36,6.37,6.36,6.37,441874
2025-06-30T18:00:00+00:00,6.37,6.38,6.36,6.38,1059757
2025-06-30T19:00:00+00:00,6.38,6.38,6.37,6.38,450046
2025-06-30T20:00:00+00:00,6.37,6.38,6.36,6.37,290309
2025-07-01T06:00:00+00:00,6.38,6.38,6.38,6.38,18282
2025-07-01T07:00:00+00:00,6.39,6.4,6.37,6.4,3046958
2025-07-01T08:00:00+00:00,6.39,6.41,6.38,6.39,2090448
2025-07-01T09:00:00+00:00,6.39,6.39,6.36,6.39,1979856
2025-07-01T10:00:00+00:00,6.39,6.39,6.38,6.39,969050
2025-07-01T11:00:00+00:00,6.39,6.4,6.38,6.4,1459307
2025-07-01T12:00:00+00:00,6.4,6.41,6.39,6.41,1167222
2025-07-01T13:00:00+00:00,6.41,6.41,6.39,6.41,583294
